Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Procter & Gamble Hygiene and Health Care Ltd.,FMCG,Mid-Cap,November-2025,11523,15.04
Kovai Medical Center & Hospital Ltd.,Healthcare,Small-Cap,November-2025,23133,14.34
TVS Holdings Ltd.,Financials,Small-Cap,November-2025,9427,13.91
VRL Logistics Ltd.,Logistics,Small-Cap,November-2025,485273,13.37
Nitin Spinners Ltd.,Textile,Small-Cap,November-2025,402414,13.31
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,Small-Cap,November-2025,707343,13.27
Ganesha Ecosphere Ltd.,Textile,Small-Cap,November-2025,124147,13.27
Sri Lotus Developers And Realty Ltd.,Construction,Small-Cap,November-2025,757737,13.26
Dee Development Engineers Ltd,Capital Goods,Small-Cap,November-2025,559026,13.17
Paradeep Phosphates Ltd.,Chemicals,Small-Cap,November-2025,799057,12.98
Bajaj Consumer Care Ltd.,FMCG,Small-Cap,November-2025,476412,12.97
Datamatics Global Services Ltd.,Technology,Small-Cap,November-2025,143116,12.71
JNK India Ltd.,Capital Goods,Small-Cap,November-2025,470528,12.71
S.P. Apparels Ltd.,Textile,Small-Cap,November-2025,165772,12.62
Biocon Ltd.,Healthcare,Mid-Cap,November-2025,314624,12.12
Tatva Chintan Pharma Chem Ltd.,Chemicals,Small-Cap,November-2025,81455,11.73
R Systems International Ltd.,Technology,Small-Cap,November-2025,283638,11.71
Tata Technologies Ltd.,Technology,Small-Cap,November-2025,170650,11.7
Deepak Nitrite Ltd.,Chemicals,Small-Cap,November-2025,69854,11.48
Lumax Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,21449,11.37
The Great Eastern Shipping Company Ltd.,Logistics,Small-Cap,November-2025,102904,11.35
Carborundum Universal Ltd.,Capital Goods,Small-Cap,November-2025,127138,11.17
Star Health and Allied Insurance Company Ltd.,Financials,Small-Cap,November-2025,227283,11.16
Le Travenues Technology Ltd.,Travel,Small-Cap,November-2025,413664,11.1
Kross Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,606448,10.61
Concord Biotech Ltd.,Healthcare,Small-Cap,November-2025,73557,10.52
Pitti Engineering Ltd.,Capital Goods,Small-Cap,November-2025,115412,10.48
Interarch Building Solutions Ltd.,Infrastructure,Small-Cap,November-2025,41800,9.38
Praj Industries Ltd.,Capital Goods,Small-Cap,November-2025,286680,9.37
United Foodbrands Ltd.,Retail and Other Services,Small-Cap,November-2025,474283,9.23
Nava Ltd.,Metals,Small-Cap,November-2025,157749,9
PNC Infratech Ltd.,Infrastructure,Small-Cap,November-2025,339585,8.96
Capri Global Capital Ltd.,Financials,Small-Cap,November-2025,454657,8.89
IFB Industries Ltd.,Consumer Durables,Small-Cap,November-2025,50097,8.88
Zee Entertainment Enterprises Ltd.,Media and Communications,Small-Cap,November-2025,870437,8.79
Subros Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,89862,8.73
Indian Railway Finance Corporation Ltd.,Financials,Large-Cap,November-2025,722213,8.7
Avalon Technologies Ltd.,Capital Goods,Small-Cap,November-2025,78683,8.5
HBL Engineering Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,88656,8.38
Sarda Energy & Minerals Ltd.,Metals,Small-Cap,November-2025,163169,8.31
Redington Ltd.,Miscellaneous,Small-Cap,November-2025,309330,8.27
GNG Electronics Ltd.,Miscellaneous,Small-Cap,November-2025,244836,8.16
Fineotex Chemical Ltd.,Chemicals,Small-Cap,November-2025,2958946,8.14
Seshaasai Technologies Ltd.,Financials,Small-Cap,November-2025,238071,8.01
SML Mahindra Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,26196,7.99
Laxmi Dental Ltd.,Healthcare,Small-Cap,November-2025,266565,7.88
Adani Energy Solutions Ltd.,Energy,Large-Cap,November-2025,79140,7.84
SBFC Finance Ltd.,Financials,Small-Cap,November-2025,703744,7.83
Indus Towers Ltd.,Media and Communications,Mid-Cap,November-2025,204299,7.81
Happiest Minds Technologies Ltd.,Technology,Small-Cap,November-2025,153604,7.79
Advanced Enzyme Technologies Ltd.,Healthcare,Small-Cap,November-2025,249740,7.74
Oriental Hotels Ltd.,Travel,Small-Cap,November-2025,642690,7.69
CRISIL Ltd.,Miscellaneous,Mid-Cap,November-2025,15910,7.44
Grindwell Norton Ltd.,Capital Goods,Small-Cap,November-2025,45296,7.35
Nesco Ltd.,Miscellaneous,Small-Cap,November-2025,54604,7.24
EMS Ltd.,Infrastructure,Small-Cap,November-2025,150236,7.21
Orchid Pharma Ltd.,Healthcare,Small-Cap,November-2025,90928,7.09
NRB Bearings Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,250097,7.08
Apollo Micro Systems Ltd.,Capital Goods,Small-Cap,November-2025,280178,7.07
Minda Corporation Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,120792,6.92
Gateway Distriparks Ltd.,Logistics,Small-Cap,November-2025,1100617,6.76
Triveni Engineering & Industries Ltd.,FMCG,Small-Cap,November-2025,176513,6.29
Thyrocare Technologies Ltd.,Healthcare,Small-Cap,November-2025,127436,6.13
Hawkins Cookers Ltd.,Consumer Durables,Small-Cap,November-2025,7180,6.09
Carraro India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,112264,6.05
Transrail Lighting Ltd.,Capital Goods,Small-Cap,November-2025,87971,6
Abbott India Ltd.,Healthcare,Mid-Cap,November-2025,2008,5.93
STL Networks Ltd.,Media and Communications,Small-Cap,November-2025,2391555,5.93
Sanstar Ltd.,FMCG,Small-Cap,November-2025,629207,5.88
SpiceJet Ltd.,Travel,Small-Cap,November-2025,1623556,5.76
Shoppers Stop Ltd.,Retail and Other Services,Small-Cap,November-2025,122250,5.75
JM Financial Ltd.,Financials,Small-Cap,November-2025,370295,5.73
Choice International Ltd.,Financials,Small-Cap,November-2025,69431,5.7
LG Balakrishnan & Bros Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,33004,5.58
Indraprastha Gas Ltd.,Energy,Small-Cap,November-2025,271242,5.58
Greenlam Industries Ltd.,Construction,Small-Cap,November-2025,214335,5.55
JK Lakshmi Cement Ltd.,Construction,Small-Cap,November-2025,67478,5.5
Sobha Ltd.,Construction,Small-Cap,November-2025,34654,5.47
Home First Finance Company India Ltd.,Financials,Small-Cap,November-2025,47338,5.46
GK Energy Ltd.,Infrastructure,Small-Cap,November-2025,293731,5.42
Gandhar Oil Refinery (India) Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,408900,5.41
DAM Capital Advisors Ltd.,Financials,Small-Cap,November-2025,229430,5.37
Akums Drugs & Pharmaceuticals Ltd.,Healthcare,Small-Cap,November-2025,120785,5.36
TBO Tek Ltd.,Travel,Small-Cap,November-2025,33525,5.26
All Time Plastics Ltd.,Consumer Durables,Small-Cap,November-2025,181494,5.24
MOIL Ltd.,Energy,Small-Cap,November-2025,147392,5.19
Greenpanel Industries Ltd.,Construction,Small-Cap,November-2025,193794,5.18
Zydus Wellness Ltd.,FMCG,Small-Cap,November-2025,112526,5.1
Sasken Technologies Ltd.,Technology,Small-Cap,November-2025,37041,5.06
Delta Corp Ltd.,Retail and Other Services,Small-Cap,November-2025,687039,5.03
Metropolis Healthcare Ltd.,Healthcare,Small-Cap,November-2025,25797,5.03
Vardhman Textiles Ltd.,Textile,Small-Cap,November-2025,114941,5.02
Stanley Lifestyles Ltd.,FMCG,Small-Cap,November-2025,200611,5.02
Himadri Speciality Chemical Ltd.,Chemicals,Small-Cap,November-2025,108573,4.99
Sandhar Technologies Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,92402,4.95
Sansera Engineering Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,29775,4.86
TSF Investments Ltd.,Financials,Small-Cap,November-2025,83692,4.84
Ceigall India Ltd.,Infrastructure,Small-Cap,November-2025,193591,4.78
Lloyds Metals & Energy Ltd.,Metals,Mid-Cap,November-2025,37628,4.75
Zaggle Prepaid Ocean Services Ltd.,Technology,Small-Cap,November-2025,121207,4.64
Western Carriers (India) Ltd.,Logistics,Small-Cap,November-2025,369420,4.63
Mold-Tek Packaging Ltd.,Consumer Durables,Small-Cap,November-2025,70683,4.61
Apollo Pipes Ltd.,Consumer Durables,Small-Cap,November-2025,150115,4.56
PCBL Chemical Ltd.,Chemicals,Small-Cap,November-2025,132172,4.54
Tilaknagar Industries Ltd.,FMCG,Small-Cap,November-2025,89886,4.51
Jana Small Finance Bank Ltd.,Financials,Small-Cap,November-2025,96915,4.46
Sterlite Technologies Ltd.,Capital Goods,Small-Cap,November-2025,391290,4.35
Nuvoco Vistas Corporation Ltd.,Construction,Small-Cap,November-2025,111677,4.31
Varroc Engineering Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,66282,4.21
OLA Electric Mobility Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,907883,4.15
Advent Hotels International Ltd.,Travel,Small-Cap,November-2025,147074,4.04
Castrol India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,207834,4.02
Aarti Industries Ltd.,Chemicals,Small-Cap,November-2025,105414,4.02
Thejo Engineering Ltd.,Capital Goods,Small-Cap,November-2025,22996,3.97
Procter & Gamble Health Ltd.,Healthcare,Small-Cap,November-2025,6370,3.79
Relaxo Footwears Ltd.,FMCG,Small-Cap,November-2025,89669,3.79
Jupiter Wagons Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,123501,3.76
Nucleus Software Exports Ltd.,Technology,Small-Cap,November-2025,37553,3.64
Praveg Ltd.,Travel,Small-Cap,November-2025,113374,3.57
Maharashtra Scooters Ltd.,Financials,Small-Cap,November-2025,2380,3.55
Cupid Ltd.,FMCG,Small-Cap,November-2025,124000,3.49
Quadrant Future Tek Ltd.,Capital Goods,Small-Cap,November-2025,109235,3.4
Smartworks Coworking Spaces Ltd.,Miscellaneous,Small-Cap,November-2025,64088,3.4
Alembic Pharmaceuticals Ltd.,Healthcare,Small-Cap,November-2025,36905,3.33
Elecon Engineering Company Ltd.,Capital Goods,Small-Cap,November-2025,58320,3.11
Gallantt Ispat Ltd.,Metals,Small-Cap,November-2025,54132,3.02
Artemis Medicare Services Ltd.,Healthcare,Small-Cap,November-2025,111532,2.97
Aarti Drugs Ltd.,Healthcare,Small-Cap,November-2025,63245,2.9
Rossari Biotech Ltd.,Chemicals,Small-Cap,November-2025,46499,2.89
Jindal Saw Ltd.,Metals,Small-Cap,November-2025,170268,2.88
Rolex Rings Ltd,Automobile and Ancillaries,Small-Cap,November-2025,248852,2.79
Aether Industries Ltd.,Chemicals,Small-Cap,November-2025,33733,2.75
Baazar Style Retail Ltd.,Retail and Other Services,Small-Cap,November-2025,88505,2.68
V-Guard Industries Ltd.,Capital Goods,Small-Cap,November-2025,71226,2.52
TruAlt Bioenergy Ltd.,FMCG,Small-Cap,November-2025,54109,2.41
Wheels India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,25840,2.28
JTEKT India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,143573,2.24
Anand Rathi Wealth Ltd.,Financials,Small-Cap,November-2025,7262,2.17
ICRA Ltd.,Miscellaneous,Small-Cap,November-2025,3294,2.08
One Mobikwik Systems Ltd.,Financials,Small-Cap,November-2025,82590,2.04
JK Tyre & Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,45207,1.99
Jaro Institute of Technology Management and Research Ltd.,Retail and Other Services,Small-Cap,November-2025,28088,1.81
Privi Speciality Chemicals Ltd.,Chemicals,Small-Cap,November-2025,5492,1.66
Indian Metals & Ferro Alloys Ltd.,Metals,Small-Cap,November-2025,13001,1.66
Computer Age Management Services Ltd.,Financials,Small-Cap,November-2025,4188,1.64
Fedbank Financial Services Ltd,Financials,Small-Cap,November-2025,113426,1.64
Jayaswal Neco Industries Ltd.,Metals,Small-Cap,November-2025,205040,1.53
Campus Activewear Ltd.,FMCG,Small-Cap,November-2025,53887,1.5
India Glycols Ltd.,FMCG,Small-Cap,November-2025,14401,1.48
Yuken India Ltd.,Capital Goods,Small-Cap,November-2025,15553,1.46
Stove Kraft Ltd.,Consumer Durables,Small-Cap,November-2025,20518,1.44
Kernex Microsystems (India) Ltd.,Capital Goods,Small-Cap,November-2025,11662,1.42
Diamond Power Infrastructure Ltd.,Capital Goods,Small-Cap,November-2025,93154,1.41
Rallis India Ltd.,Chemicals,Small-Cap,November-2025,52414,1.37
Arman Financial Services Ltd.,Financials,Small-Cap,November-2025,8329,1.36
KRBL Ltd.,FMCG,Small-Cap,November-2025,34129,1.33
Dishman Carbogen Amcis Ltd.,Healthcare,Small-Cap,November-2025,48135,1.28
Star Cement Ltd.,Construction,Small-Cap,November-2025,52480,1.27
Juniper Hotels Ltd.,Travel,Small-Cap,November-2025,48151,1.24
Nilkamal Ltd.,Consumer Durables,Small-Cap,November-2025,8192,1.2
Innova Captab Ltd.,Healthcare,Small-Cap,November-2025,15506,1.2
Balkrishna Industries Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,5153,1.18
Chemplast Sanmar Ltd.,Chemicals,Small-Cap,November-2025,34153,1.17
Unicommerce eSolutions Ltd.,Technology,Small-Cap,November-2025,85171,1.1
VST Industries Ltd.,FMCG,Small-Cap,November-2025,41949,1.08
PTC Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,583,1.03
Veranda Learning Solutions Ltd.,Retail and Other Services,Small-Cap,November-2025,45971,1.02
Oswal Pumps Ltd.,Capital Goods,Small-Cap,November-2025,15948,1.02
Ashoka Buildcon Ltd.,Infrastructure,Small-Cap,November-2025,49470,0.95
Vintage Coffee & Beverages Ltd.,Miscellaneous,Small-Cap,November-2025,58115,0.94
Forbes Precision Tools And Machine Parts Ltd.,Capital Goods,Small-Cap,November-2025,50301,0.89
Marathon Nextgen Realty Ltd.,Construction,Small-Cap,November-2025,15059,0.87
Engineers India Ltd.,Infrastructure,Small-Cap,November-2025,43008,0.86
Ahluwalia Contracts (India) Ltd.,Construction,Small-Cap,November-2025,8579,0.83
Onward Technologies Ltd.,Technology,Small-Cap,November-2025,23343,0.69
Navkar Corporation Ltd.,Logistics,Small-Cap,November-2025,63666,0.69
Elantas Beck India Ltd.,Chemicals,Small-Cap,November-2025,649,0.63
BLS International Services Ltd.,Miscellaneous,Small-Cap,November-2025,19545,0.63
RK Swamy Ltd.,Media and Communications,Small-Cap,November-2025,49011,0.62
Vardhman Special Steels Ltd.,Metals,Small-Cap,November-2025,21201,0.6
SJS Enterprises Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,3602,0.6
GFL Ltd.,Financials,Small-Cap,November-2025,94673,0.59
Supriya Lifescience Ltd.,Healthcare,Small-Cap,November-2025,7549,0.58
Concord Enviro Systems Ltd.,Miscellaneous,Small-Cap,November-2025,12387,0.56
Exicom Tele-Systems Ltd.,Capital Goods,Small-Cap,November-2025,40570,0.51
Bharat Bijlee Ltd.,Capital Goods,Small-Cap,November-2025,1629,0.48
Nirlon Ltd.,Infrastructure,Small-Cap,November-2025,8185,0.41
Patel Engineering Ltd.,Infrastructure,Small-Cap,November-2025,97933,0.36
AGI Greenpac Ltd.,FMCG,Small-Cap,November-2025,4364,0.35
Geojit Financial Services Ltd.,Financials,Small-Cap,November-2025,30516,0.23
Paras Defence And Space Technologies Ltd.,Capital Goods,Small-Cap,November-2025,2973,0.21
Bosch Home Comfort India Ltd.,Consumer Durables,Small-Cap,November-2025,1071,0.18
Sadbhav Infrastructure Project Ltd.,Infrastructure,Small-Cap,November-2025,483717,0.18
Unimech Aerospace and Manufacturing Ltd.,Capital Goods,Small-Cap,November-2025,1831,0.18
IRB Infrastructure Developers Ltd.,Infrastructure,Small-Cap,November-2025,35669,0.16
La Opala RG Ltd.,Construction,Small-Cap,November-2025,6511,0.15
Vindhya Telelinks Ltd.,Media and Communications,Small-Cap,November-2025,875,0.13
Shivalik Bimetal Controls Ltd.,Metals,Small-Cap,November-2025,2407,0.11
Roto Pumps Ltd.,Capital Goods,Small-Cap,November-2025,16366,0.11
Texmaco Rail & Engineering Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,8075,0.11
Kalpataru Ltd.,Construction,Small-Cap,November-2025,2500,0.09
Ador Welding Ltd.,Capital Goods,Small-Cap,November-2025,747,0.08
TTK Prestige Ltd.,Consumer Durables,Small-Cap,November-2025,1110,0.07
Vinati Organics Ltd.,Chemicals,Small-Cap,November-2025,71,0.01
Aeroflex Industries Ltd.,Metals,Small-Cap,November-2025,541,0.01
Hindware Home Innovation Ltd.,Consumer Durables,Small-Cap,November-2025,270,0.01
KRN Heat Exchanger And Refrigeration Ltd.,Capital Goods,Small-Cap,November-2025,170,0.01

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.